time_ns,clk,reset,sw,hsync,vsync,led,vgaR,vgaG,vgaB,pix_en,video_on,x,y
42944195.000,1,0,5,1,1,6,15,15,15,1,1,0,292
42976195.000,1,0,5,1,1,6,15,15,15,1,1,0,293
43008195.000,1,0,5,1,1,6,15,15,15,1,1,0,294
43040195.000,1,0,5,1,1,6,15,15,15,1,1,0,295
43072195.000,1,0,5,1,1,6,15,15,15,1,1,0,296
43104195.000,1,0,5,1,1,6,15,15,15,1,1,0,297
43136195.000,1,0,5,1,1,6,15,15,15,1,1,0,298
43168195.000,1,0,5,1,1,6,15,15,15,1,1,0,299
43200195.000,1,0,5,1,1,6,15,15,15,1,1,0,300
43232195.000,1,0,5,1,1,6,15,15,15,1,1,0,301
43264195.000,1,0,5,1,1,6,15,15,15,1,1,0,302
43296195.000,1,0,5,1,1,6,15,15,15,1,1,0,303
43328195.000,1,0,5,1,1,6,15,15,15,1,1,0,304
43360195.000,1,0,5,1,1,6,15,15,15,1,1,0,305
43392195.000,1,0,5,1,1,6,15,15,15,1,1,0,306
43424195.000,1,0,5,1,1,6,15,15,15,1,1,0,307
43456195.000,1,0,5,1,1,6,15,15,15,1,1,0,308
43488195.000,1,0,5,1,1,6,15,15,15,1,1,0,309
43520195.000,1,0,5,1,1,6,15,15,15,1,1,0,310
43552195.000,1,0,5,1,1,6,15,15,15,1,1,0,311
43584195.000,1,0,5,1,1,6,15,15,15,1,1,0,312
43616195.000,1,0,5,1,1,6,15,15,15,1,1,0,313
43648195.000,1,0,5,1,1,6,15,15,15,1,1,0,314
43680195.000,1,0,5,1,1,6,15,15,15,1,1,0,315
43712195.000,1,0,5,1,1,6,15,15,15,1,1,0,316
43744195.000,1,0,5,1,1,6,15,15,15,1,1,0,317
43776195.000,1,0,5,1,1,6,15,15,15,1,1,0,318
43808195.000,1,0,5,1,1,6,15,15,15,1,1,0,319
43840195.000,1,0,5,1,1,6,15,15,15,1,1,0,320
43872195.000,1,0,5,1,1,6,15,15,15,1,1,0,321
43904195.000,1,0,5,1,1,6,15,15,15,1,1,0,322
43936195.000,1,0,5,1,1,6,15,15,15,1,1,0,323
43968195.000,1,0,5,1,1,6,15,15,15,1,1,0,324
44000195.000,1,0,5,1,1,6,15,15,15,1,1,0,325
44032195.000,1,0,5,1,1,6,15,15,15,1,1,0,326
44064195.000,1,0,5,1,1,6,15,15,15,1,1,0,327
44096195.000,1,0,5,1,1,6,15,15,15,1,1,0,328
44128195.000,1,0,5,1,1,6,15,15,15,1,1,0,329
44160195.000,1,0,5,1,1,6,15,15,15,1,1,0,330
44192195.000,1,0,5,1,1,6,15,15,15,1,1,0,331
44224195.000,1,0,5,1,1,6,15,15,15,1,1,0,332
44256195.000,1,0,5,1,1,6,15,15,15,1,1,0,333
44288195.000,1,0,5,1,1,6,15,15,15,1,1,0,334
44320195.000,1,0,5,1,1,6,15,15,15,1,1,0,335
44352195.000,1,0,5,1,1,6,15,15,15,1,1,0,336
44384195.000,1,0,5,1,1,6,15,15,15,1,1,0,337
44416195.000,1,0,5,1,1,6,15,15,15,1,1,0,338
44448195.000,1,0,5,1,1,6,15,15,15,1,1,0,339
44480195.000,1,0,5,1,1,6,15,15,15,1,1,0,340
44512195.000,1,0,5,1,1,6,15,15,15,1,1,0,341
44544195.000,1,0,5,1,1,6,15,15,15,1,1,0,342
44576195.000,1,0,5,1,1,6,15,15,15,1,1,0,343
44608195.000,1,0,5,1,1,6,15,15,15,1,1,0,344
44640195.000,1,0,5,1,1,6,15,15,15,1,1,0,345
44672195.000,1,0,5,1,1,6,15,15,15,1,1,0,346
44704195.000,1,0,5,1,1,6,15,15,15,1,1,0,347
44736195.000,1,0,5,1,1,6,15,15,15,1,1,0,348
44768195.000,1,0,5,1,1,6,15,15,15,1,1,0,349
44800195.000,1,0,5,1,1,6,15,15,15,1,1,0,350
44832195.000,1,0,5,1,1,6,15,15,15,1,1,0,351
44864195.000,1,0,5,1,1,6,15,15,15,1,1,0,352
44896195.000,1,0,5,1,1,6,15,15,15,1,1,0,353
44928195.000,1,0,5,1,1,6,15,15,15,1,1,0,354
44960195.000,1,0,5,1,1,6,15,15,15,1,1,0,355
44992195.000,1,0,5,1,1,6,15,15,15,1,1,0,356
45024195.000,1,0,5,1,1,6,15,15,15,1,1,0,357
45056195.000,1,0,5,1,1,6,15,15,15,1,1,0,358
45088195.000,1,0,5,1,1,6,15,15,15,1,1,0,359
45120195.000,1,0,5,1,1,6,15,15,15,1,1,0,360
45152195.000,1,0,5,1,1,6,15,15,15,1,1,0,361
45184195.000,1,0,5,1,1,6,15,15,15,1,1,0,362
45216195.000,1,0,5,1,1,6,15,15,15,1,1,0,363
45248195.000,1,0,5,1,1,6,15,15,15,1,1,0,364
45280195.000,1,0,5,1,1,6,15,15,15,1,1,0,365
45312195.000,1,0,5,1,1,6,15,15,15,1,1,0,366
45344195.000,1,0,5,1,1,6,15,15,15,1,1,0,367
45376195.000,1,0,5,1,1,6,15,15,15,1,1,0,368
45408195.000,1,0,5,1,1,6,15,15,15,1,1,0,369
45440195.000,1,0,5,1,1,6,15,15,15,1,1,0,370
45472195.000,1,0,5,1,1,6,15,15,15,1,1,0,371
45504195.000,1,0,5,1,1,6,15,15,15,1,1,0,372
45536195.000,1,0,5,1,1,6,15,15,15,1,1,0,373
45568195.000,1,0,5,1,1,6,15,15,15,1,1,0,374
45600195.000,1,0,5,1,1,6,15,15,15,1,1,0,375
45632195.000,1,0,5,1,1,6,15,15,15,1,1,0,376
45664195.000,1,0,5,1,1,6,15,15,15,1,1,0,377
45696195.000,1,0,5,1,1,6,15,15,15,1,1,0,378
45728195.000,1,0,5,1,1,6,15,15,15,1,1,0,379
45760195.000,1,0,5,1,1,6,15,15,15,1,1,0,380
45792195.000,1,0,5,1,1,6,15,15,15,1,1,0,381
45824195.000,1,0,5,1,1,6,15,15,15,1,1,0,382
45856195.000,1,0,5,1,1,6,15,15,15,1,1,0,383
45888195.000,1,0,5,1,1,6,15,15,15,1,1,0,384
45920195.000,1,0,5,1,1,6,15,15,15,1,1,0,385
45952195.000,1,0,5,1,1,6,15,15,15,1,1,0,386
45984195.000,1,0,5,1,1,6,15,15,15,1,1,0,387
46016195.000,1,0,5,1,1,6,15,15,15,1,1,0,388
46048195.000,1,0,5,1,1,6,15,15,15,1,1,0,389
46080195.000,1,0,5,1,1,6,15,15,15,1,1,0,390
46112195.000,1,0,5,1,1,6,15,15,15,1,1,0,391
46144195.000,1,0,5,1,1,6,15,15,15,1,1,0,392
46176195.000,1,0,5,1,1,6,15,15,15,1,1,0,393
46208195.000,1,0,5,1,1,6,15,15,15,1,1,0,394
46240195.000,1,0,5,1,1,6,15,15,15,1,1,0,395
46272195.000,1,0,5,1,1,6,15,15,15,1,1,0,396
46304195.000,1,0,5,1,1,6,15,15,15,1,1,0,397
46336195.000,1,0,5,1,1,6,15,15,15,1,1,0,398
46368195.000,1,0,5,1,1,6,15,15,15,1,1,0,399
46400195.000,1,0,5,1,1,6,15,15,15,1,1,0,400
46432195.000,1,0,5,1,1,6,15,15,15,1,1,0,401
46464195.000,1,0,5,1,1,6,15,15,15,1,1,0,402
46496195.000,1,0,5,1,1,6,15,15,15,1,1,0,403
46528195.000,1,0,5,1,1,6,15,15,15,1,1,0,404
46560195.000,1,0,5,1,1,6,15,15,15,1,1,0,405
46592195.000,1,0,5,1,1,6,15,15,15,1,1,0,406
46624195.000,1,0,5,1,1,6,15,15,15,1,1,0,407
46656195.000,1,0,5,1,1,6,15,15,15,1,1,0,408
46688195.000,1,0,5,1,1,6,15,15,15,1,1,0,409
46720195.000,1,0,5,1,1,6,15,15,15,1,1,0,410
46752195.000,1,0,5,1,1,6,15,15,15,1,1,0,411
46784195.000,1,0,5,1,1,6,15,15,15,1,1,0,412
46816195.000,1,0,5,1,1,6,15,15,15,1,1,0,413
46848195.000,1,0,5,1,1,6,15,15,15,1,1,0,414
46880195.000,1,0,5,1,1,6,15,15,15,1,1,0,415
46912195.000,1,0,5,1,1,6,15,15,15,1,1,0,416
46944195.000,1,0,5,1,1,6,15,15,15,1,1,0,417
46976195.000,1,0,5,1,1,6,15,15,15,1,1,0,418
47008195.000,1,0,5,1,1,6,15,15,15,1,1,0,419
47040195.000,1,0,5,1,1,6,15,15,15,1,1,0,420
47072195.000,1,0,5,1,1,6,15,15,15,1,1,0,421
47104195.000,1,0,5,1,1,6,15,15,15,1,1,0,422
47136195.000,1,0,5,1,1,6,15,15,15,1,1,0,423
47168195.000,1,0,5,1,1,6,15,15,15,1,1,0,424
47200195.000,1,0,5,1,1,6,15,15,15,1,1,0,425
47232195.000,1,0,5,1,1,6,15,15,15,1,1,0,426
47264195.000,1,0,5,1,1,6,15,15,15,1,1,0,427
47296195.000,1,0,5,1,1,6,15,15,15,1,1,0,428
47328195.000,1,0,5,1,1,6,15,15,15,1,1,0,429
